marca;modelo;productos;ejemplos
AYP;LT 126;1;5888413
AYP;LT 4140G;1;5888405
AYP;PB 19546LT;1;5888412
AYP;PB 30;1;5888416
Caroni;480;1;3101448
Caroni;590;1;3101449
Echo;420;3;2203085 2212043 2290539
Echo;PB 251;3;2102873 2909066 2909106
Echo;SRM 4605;3;2112108 2113036 2124240
Echo;058;2;2290531 2290535
Echo;325;2;2290531 2290539
Echo;CS 420;2;2290531 2909202
Echo;CS 600;2;2202881 2290535
Echo;GT 225;2;2909066 2909106
Echo;050;1;2290539
Echo;132;1;2117556
Echo;142R;1;2117556
Echo;155;1;2602100
Echo;200;1;2109041
Echo;220;1;2112108
Echo;225;1;2909106
Echo;2300;1;2117552
Echo;236R;1;2117556
Echo;265R;1;2117556
Echo;280;1;2112108
Echo;345R;1;2117556
Echo;353;1;2202879
Echo;4200;1;2219503
Echo;4300;1;2117552
Echo;435;1;2109212
Echo;4400;1;2209019
Echo;4600;1;2209019
Echo;4605;1;2117552
Echo;502;1;2209211
Echo;510;1;2290539
Echo;5810;1;2117556
Echo;610;1;2209211
Echo;650;1;2209211
Echo;6702;1;2290535
Echo;CC 352;1;2202879
Echo;CC 353;1;2202879
Echo;CS 1700;1;2203085
Echo;CS 221;1;2109212
Echo;CS 330;1;2909002
Echo;CS 332;1;2209005
Echo;CS 350;1;2219503
Echo;CS 3500;1;2909202
Echo;CS 3500/420;1;2909202
Echo;CS 361P;1;2202843
Echo;CS 4100;1;2209019
Echo;CS 4100/;1;2209019
Echo;CS 420/510;1;2290531
Echo;CS 4400;1;2209019
Echo;CS 4600;1;2209019
Echo;CS 500;1;2209211
Echo;CS 500/501;1;2209211
Echo;CS 501;1;2209211
Echo;CS 502;1;2209211
Echo;CS 510;1;2290531
Echo;CS 600/;1;2290535
Echo;CS 650;1;2209211
Echo;CS 6702;1;2290535
Echo;CS 680;1;2290535
Echo;ECHO 2300;1;2117552
Echo;ECHO 4300;1;2117552
Echo;ECHO 4605;1;2117552
Echo;FS 160;1;2112108
Echo;GT 1100/;1;2109212
Echo;GT 200;1;2909106
Echo;GT 200/202;1;2909106
Echo;GT 202;1;2909106
Echo;GT 2150;1;2109041
Echo;PB 251/252;1;2909106
Echo;PB 251/255;1;2909066
Echo;PB 252;1;2909106
Echo;PB 255;1;2909066
Echo;PB 265L;1;2102873
Echo;PB 610;1;2202882
Echo;PB 610/620;1;2202882
Echo;PB 620;1;2202882
Echo;SD 23;1;2109017
Echo;SD 26;1;2109017
Echo;SD 35;1;2109017
Echo;SD 45;1;2109017
Echo;SRM 230;1;2909066
Echo;SRM 2300;1;2109013
Echo;SRM 2305/GT;1;2109041
Echo;SRM 3550;1;2109017
Echo;SRM 3605;1;2909202
Echo;SRM 4300;1;2109061
Echo;SRM 4606;1;2113060
Homelite;185;1;2209012
Homelite;285;1;2209012
Homelite;385;1;2209012
Homelite;PM 800;1;2209008
Homelite;PM 850;1;2209008
Homelite;PM 850/800;1;2209008
Homelite;SP 81;1;2209008
Homelite;ST 155;1;2209012
Homelite;ST 155/175;1;2209012
Homelite;ST 175;1;2209012
Homelite;ST 185;1;2209012
Homelite;XL 12;1;2209008
Honda;GX 390;4;4301556 4302916 4320628 4325314
Honda;005;2;4301557 4301559
Honda;GCV 160;2;4301561 4315236
Honda;GX 270;2;4320628 4325314
Honda;GX 340;2;4301556 4302916
Honda;GX 340/390;2;4301556 4302916
Honda;GX 420;2;4320628 4325314
Honda;GX 440;2;4320628 4325314
Honda;150;1;4301557
Honda;160;1;4302916
Honda;200;1;4301557
Honda;883;1;4301559
Honda;GX 110;1;4301558
Honda;GX 110/120;1;4301558
Honda;GX 120;1;4301558
Honda;GX 140;1;4302916
Honda;GX 240;1;4325314
Honda;GX 25;1;4315285
Husqvarna;143R;49;2102143 2103010 2103023 2103203 2103205
Husqvarna;365;30;2112107 2125161 2203026 2203027 2203080
Husqvarna;268;23;2112107 2203025 2203072 2209216 2212055
Husqvarna;372;22;2112107 2125161 2203026 2203027 2203081
Husqvarna;272;17;2203025 2203073 2212055 2212078 2214023
Husqvarna;137;6;2203069 2219055 2219090 2220199 2222054
Husqvarna;385;5;2203027 2215081 2219059 2219094 2220083
Husqvarna;FS 38/55;5;2103010 2103203 2115201 2122128 2127015
Husqvarna;LT 125;5;5888505 5888516 5888530 5888560 5888561
Husqvarna;142;4;2219055 2219090 2222054 2224035
Husqvarna;214;4;5888564 5888565 5888566 5888567
Husqvarna;236;4;2209083 2219056 2219091 2224036
Husqvarna;288;4;2203074 2215080 2220133 2220199
Husqvarna;345;4;2203075 2209208 2209209 2209210
Husqvarna;362;4;2212101 2212103 2220121 2220172
Husqvarna;550;4;2109207 2209208 2209209 2209210
Husqvarna;128R;3;2113062 2122141 2209035
Husqvarna;136;3;2203069 2219055 2222054
Husqvarna;240;3;2219056 2219091 2224036
Husqvarna;266;3;2209216 2215029 2224038
Husqvarna;345XP;3;2209208 2209209 2209210
Husqvarna;371;3;2109207 2212101 2212103
Husqvarna;372XP;3;2209024 2212101 2212103
Husqvarna;390;3;2203027 2219059 2219094
Husqvarna;445;3;2215070 2222040 2224040
Husqvarna;450;3;2215070 2222040 2224040
Husqvarna;5000;3;2209208 2209209 2209210
Husqvarna;575;3;2215081 2219093 2220083
Husqvarna;600;3;2209208 2209209 2209210
Husqvarna;CS 510;3;2209208 2209209 2209210
Husqvarna;YTH 1542;3;5888520 5888522 5888529
Husqvarna;058;2;2290533 2290542
Husqvarna;132;2;2109206 2203068
Husqvarna;141;2;2219055 2222054
Husqvarna;142R;2;2203068 2909204
Husqvarna;455;2;2224037 2224040
Husqvarna;FS 120;2;2113046 2113047
Husqvarna;FS 38;2;2112107 2125161
Husqvarna;FS 55;2;2112107 2125161
Husqvarna;GTH 2554;2;5888501 5888533
Husqvarna;LT 100;2;5888505 5888516
Husqvarna;LT 120;2;5888505 5888516
Husqvarna;LT 130;2;5888510 5888524
Husqvarna;LT 131;2;5888520 5888535
Husqvarna;LT 1597;2;5888547 5888548
Husqvarna;LT 19538;2;5888536 5888547
Husqvarna;YT 1942T;2;5888536 5888542
Husqvarna;YTH 1842;2;5888522 5888529
Husqvarna;YTH 2754;2;5888515 5888540
Husqvarna;009;1;2290542
Husqvarna;125;1;2113062
Husqvarna;133;1;2109207
Husqvarna;143RII;1;2909203
Husqvarna;2007;1;5888548
Husqvarna;2042;1;5888515
Husqvarna;2050;1;2209033
Husqvarna;2065;1;2209024
Husqvarna;212;1;2109206
Husqvarna;220;1;2122141
Husqvarna;225R;1;2109201
Husqvarna;232R;1;2109201
Husqvarna;235;1;2219091
Husqvarna;235R;1;2109201
Husqvarna;254;1;2224038
Husqvarna;261;1;2209216
Husqvarna;262;1;2224038
Husqvarna;272XP;1;2209216
Husqvarna;280;1;2122141
Husqvarna;343R;1;2209035
Husqvarna;372R;1;2222051
Husqvarna;420;1;2109207
Husqvarna;460;1;2224040
Husqvarna;570;1;2219093
Husqvarna;625;1;2209216
Husqvarna;630;1;2209216
Husqvarna;670;1;2209216
Husqvarna;850;1;5888556
Husqvarna;BC 420;1;2203068
Husqvarna;BG 55/65/;1;2909039
Husqvarna;CS 60;1;2209216
Husqvarna;EB 260;1;2103009
Husqvarna;FS 160;1;2122141
Husqvarna;GS 650;1;2290533
Husqvarna;HQV 261;1;2209216
Husqvarna;HQV 266;1;2209216
Husqvarna;HQV 268;1;2209216
Husqvarna;HQV 272;1;2209216
Husqvarna;HQV 40;1;2209033
Husqvarna;HQV 45;1;2209033
Husqvarna;HQV 51;1;2209033
Husqvarna;HQV 61;1;2209216
Husqvarna;IZ 4821;1;5888554
Husqvarna;LT 112;1;5888513
Husqvarna;LT 11212HP;1;5888512
Husqvarna;LT 126;1;5888549
Husqvarna;LT 2113;1;5888545
Husqvarna;MS 260;1;2203086
Husqvarna;MS 270;1;2109207
Husqvarna;MS 361;1;2210032
Husqvarna;SRM 270;1;2909203
Husqvarna;YTH 19530;1;5888549
Husqvarna;YTH 20;1;5888525
Husqvarna;YTH 2042;1;5888550
Husqvarna;YTH 2146;1;5888546
Husqvarna;YTH 2546;1;5888546
John Deere;GX 21784;1;3101367
John Deere;GX 22151;1;3101356
Jonsered;410;1;2909217
Jonsered;450;1;2909217
Jonsered;525;1;2909217
Jonsered;535;1;2909217
Kohler;584;3;4324901 4324902 4324903
Kohler;041;1;4310488
Kohler;841;1;4310494
Kohler;REPL 01;1;4310494
Kohler;REPL 24;1;4310494
Kohler;REPL 841;1;4310494
McCulloch;PM 300;1;2909001
McCulloch;PM 310;1;2909001
McCulloch;PM 510X;1;2909001
Mitsubishi;200;1;2109218
Mitsubishi;240;1;2109218
MTD;RZT 42;3;3102631 5888215 5888250
MTD;LT 12;2;5888110 5888150
MTD;RZT 50;2;5888215 5888216
MTD;LT 115;1;5888206
MTD;LT 175;1;5888206
Murray;EZM 2042;3;3101277 5888502 5888503
Murray;RZT 26520;2;5888504 5888506
Murray;GTH 48;1;5888499
Murray;LT 4140G;1;5888507
Murray;LT 46;1;5888468
Oleo Mac;220;3;2113063 2115139 2219083
Oleo Mac;280;3;2113063 2115139 2219083
Oleo Mac;FS 160;3;2113063 2115139 2219083
Oleo Mac;MAC 746;3;2107137 2113063 2124247
Oleo Mac;MAC 753;3;2107137 2113063 2124247
Oleo Mac;MAC 755;3;2107137 2113063 2117548
Oleo Mac;MAC 750;2;2113063 2124247
Oleo Mac;MAC 936;2;2219083 2224041
Oleo Mac;MAC 937;2;2219076 2219083
Oleo Mac;MAC 952;2;2219076 2224041
Oleo Mac;180;1;2290518
Oleo Mac;210;1;2290518
Oleo Mac;395;1;2290518
Oleo Mac;430;1;2103192
Oleo Mac;453;1;2124247
Oleo Mac;FS 38;1;2113063
Oleo Mac;FS 55;1;2113063
Oleo Mac;HAVE 42;1;2103190
Oleo Mac;HAVE 44;1;2103190
Oleo Mac;MAC 453;1;2124247
Oleo Mac;MAC 740;1;2117548
Oleo Mac;MAC 745;1;2117548
Oleo Mac;MAC 940;1;2224041
Oleo Mac;MAC 941;1;2219076
Oleo Mac;MAC 947;1;2224041
Oleo Mac;SP 40;1;2103190
Oleo Mac;SP 42;1;2103192
Oleo Mac;SP 42/44/;1;2103192
Oleo Mac;SP 430;1;2103192
Oleo Mac;SP 44;1;2103192
Stihl;FS 160;86;2102825 2103011 2103012 2103015 2103198
Stihl;280;84;2102825 2103011 2103012 2103198 2103206
Stihl;220;74;2102825 2103011 2103012 2103198 2103206
Stihl;FS 55;65;2102844 2103010 2103203 2104035 2105026
Stihl;FS 38;64;2102844 2103010 2103203 2104035 2105026
Stihl;FS 450;57;2103012 2103206 2103207 2104032 2105029
Stihl;FS 220;48;2102825 2103011 2103016 2103208 2103209
Stihl;FS 160/220;44;2102825 2103208 2103209 2103210 2107133
Stihl;FS 280;39;2102825 2103208 2103209 2103210 2104031
Stihl;MS 170;23;2203014 2205022 2209033 2210012 2210015
Stihl;MS 361;23;2109207 2203017 2205028 2207017 2209135
Stihl;250;21;2107118 2113056 2113057 2122136 2125165
Stihl;MS 250;21;2203015 2205026 2207015 2209035 2210012
Stihl;MS 180;20;2203014 2205023 2209033 2210015 2210033
Stihl;MS 381;20;2203019 2205029 2207018 2209096 2210060
Stihl;MS 360;18;2203016 2205027 2207016 2209021 2210069
Stihl;MS 380;18;2203018 2205029 2207018 2209096 2209213
Stihl;MS 170/180;17;2203014 2209033 2210015 2210050 2214067
Stihl;MS 230;17;2203015 2203039 2205025 2207015 2210015
Stihl;FS 38/55;16;2102844 2110016 2110025 2110026 2110027
Stihl;450;14;2107132 2107140 2112100 2113045 2113048
Stihl;FS 85;13;2103197 2105024 2112106 2114082 2120025
Stihl;MS 382;12;2203019 2210061 2212040 2219046 2220073
Stihl;MS 210;11;2203043 2205024 2207015 2209035 2210015
Stihl;MS 380/381;10;2205029 2207018 2209096 2212039 2212047
Stihl;230;9;2210015 2212076 2215082 2219049 2219063
Stihl;FS 120;8;2105025 2107118 2107132 2107140 2112100
Stihl;MS 341;8;2203017 2207017 2214061 2215084 2220096
Stihl;210;7;2210015 2215082 2219049 2219063 2220080
Stihl;FS 80;7;2103197 2112106 2114082 2120025 2125159
Stihl;MS 230/250;7;2203015 2212090 2220123 2220166 2220181
Stihl;MS 340;7;2207016 2219043 2220070 2220124 2220137
Stihl;MS 340/360;7;2207016 2219043 2220070 2220124 2220137
Stihl;MS 341/361;7;2203017 2207017 2214061 2215084 2220125
Stihl;BG 86;6;2109088 2303001 2304001 2307080 2315106
Stihl;FS 250;6;2107118 2107132 2107140 2112100 2122136
Stihl;381;5;2219067 2219095 2220081 2220146 2220193
Stihl;FS 80/85;5;2103197 2112106 2114082 2120025 2125159
Stihl;MS 162;5;2202855 2207019 2207020 2215065 2224028
Stihl;MS 162/172;5;2202855 2207019 2207020 2215065 2224028
Stihl;MS 172;5;2202855 2207019 2207020 2215065 2224028
Stihl;MS 362;5;2212040 2215027 2215073 2224021 2227656
Stihl;036;4;2209025 2212038 2212046 2220081
Stihl;038;4;2209213 2215074 2220146 2220193
Stihl;180;4;2220080 2220143 2220191 2227656
Stihl;291;4;2102824 2107135 2115140 2124236
Stihl;360;4;2117554 2209021 2212079 2220191
Stihl;380;4;2219095 2220081 2220146 2220193
Stihl;382;4;2220193 2220209 2227656 2290534
Stihl;FS 120/200;4;2107118 2122136 2124231 2125165
Stihl;FS 161;4;2102824 2107135 2115140 2124236
Stihl;FS 161/221;4;2102824 2107135 2115140 2124236
Stihl;FS 200;4;2107118 2122136 2124231 2125165
Stihl;FS 221;4;2102824 2107135 2115140 2124236
Stihl;FS 291;4;2102824 2107135 2115140 2124236
Stihl;MS 210/230;4;2207015 2220069 2220092 2220136
Stihl;MS 290;4;2214034 2214035 2215083 2219042
Stihl;MS 660;4;2210062 2214034 2214035 2220210
Stihl;TS 410;4;2303003 2324244 2909100 4307653
Stihl;TS 420;4;2303003 2324244 2909100 4307653
Stihl;044;3;2209025 2209026 2220194
Stihl;170;3;2220080 2220143 2220191
Stihl;290;3;2212079 2220092 2220192
Stihl;325;3;2212076 2212108 2290532
Stihl;BG 55;3;2307081 2909039 2909056
Stihl;BG 56;3;2109088 2307080 2324245
Stihl;BR 500;3;2109093 2324242 2909072
Stihl;BR 600;3;2109093 2324242 2909072
Stihl;FS 120/250;3;2107132 2107140 2112100
Stihl;FS 75;3;2909051 2909056 4307680
Stihl;MS 036;3;2212038 2220145 2222036
Stihl;ST 044;3;2212046 2212092 2215024
Stihl;ST 250;3;2212036 2212045 2224018
Stihl;ST 361;3;2212046 2212092 2219044
Stihl;TS 410/420;3;2303003 2324244 2909100
Stihl;026;2;2212108 2220081
Stihl;0300;2;4307653 4307654
Stihl;063;2;2290532 2290534
Stihl;130R;2;2109093 2909072
Stihl;141;2;4307653 4307654
Stihl;251;2;2212036 2212045
Stihl;2800;2;2220091 4307655
Stihl;310;2;2109093 2220092
Stihl;441;2;2215073 2227656
Stihl;460;2;2219044 2219065
Stihl;600;2;2109093 2909072
Stihl;6001;2;2113050 2113051
Stihl;BG 65;2;2307081 2909039
Stihl;BG 85;2;2307081 2909039
Stihl;BR 320;2;2109207 2324240
Stihl;BR 500/550;2;2109093 2909072
Stihl;BR 550;2;2109093 2909072
Stihl;FS 106;2;2117550 2209028
Stihl;FS 45;2;2909051 4307679
Stihl;FS 480;2;2113034 2125168
Stihl;FS 500;2;2109207 2117576
Stihl;FS 550;2;2109207 2117576
Stihl;HS 45;2;2109092 2315105
Stihl;MS 038;2;2203018 2220209
Stihl;MS 260;2;2203045 2210072
Stihl;MS 290/660;2;2214034 2214035
Stihl;MS 291;2;2203055 2204051
Stihl;MS 360/036;2;2220145 2222036
Stihl;MS 361/362;2;2215073 2227656
Stihl;MS 381/382;2;2203019 2220126
Stihl;MS 461;2;2203060 2290534
Stihl;ST 180;2;2212036 2212045
Stihl;ST 180/250;2;2212036 2212045
